Id,Bound
0,1
1,0
2,0
3,0
4,0
5,1
6,0
7,1
8,1
9,0
10,1
11,1
12,1
13,1
14,0
15,1
16,1
17,1
18,0
19,1
20,0
21,0
22,1
23,0
24,1
25,1
26,1
27,1
28,0
29,0
30,1
31,0
32,1
33,0
34,0
35,1
36,0
37,0
38,0
39,0
40,1
41,1
42,0
43,1
44,1
45,1
46,0
47,0
48,1
49,0
50,0
51,1
52,0
53,0
54,1
55,1
56,1
57,1
58,0
59,1
60,1
61,1
62,0
63,1
64,0
65,1
66,0
67,1
68,1
69,0
70,1
71,0
72,0
73,1
74,0
75,1
76,1
77,1
78,1
79,0
80,1
81,0
82,1
83,0
84,1
85,1
86,1
87,0
88,1
89,1
90,0
91,0
92,0
93,0
94,0
95,0
96,1
97,1
98,1
99,0
100,1
101,1
102,0
103,1
104,0
105,0
106,1
107,1
108,1
109,0
110,0
111,0
112,0
113,1
114,0
115,0
116,1
117,1
118,1
119,1
120,0
121,1
122,1
123,0
124,0
125,0
126,0
127,1
128,0
129,1
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,1
138,1
139,1
140,0
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,0
149,0
150,1
151,1
152,0
153,1
154,1
155,1
156,1
157,0
158,0
159,0
160,1
161,1
162,1
163,1
164,1
165,1
166,0
167,1
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,1
177,1
178,1
179,0
180,0
181,0
182,0
183,1
184,1
185,0
186,1
187,1
188,0
189,0
190,0
191,1
192,0
193,1
194,0
195,1
196,1
197,1
198,1
199,0
200,0
201,0
202,1
203,1
204,0
205,0
206,0
207,0
208,1
209,1
210,1
211,1
212,0
213,0
214,1
215,0
216,1
217,0
218,1
219,0
220,0
221,0
222,1
223,1
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,1
232,1
233,1
234,0
235,1
236,1
237,0
238,1
239,1
240,1
241,0
242,1
243,1
244,1
245,0
246,1
247,1
248,0
249,0
250,1
251,1
252,0
253,1
254,0
255,1
256,1
257,1
258,0
259,1
260,1
261,1
262,0
263,0
264,1
265,1
266,0
267,1
268,1
269,1
270,1
271,1
272,1
273,0
274,0
275,1
276,1
277,1
278,1
279,1
280,1
281,1
282,0
283,0
284,1
285,0
286,0
287,1
288,1
289,0
290,1
291,0
292,1
293,0
294,0
295,0
296,1
297,1
298,0
299,1
300,1
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,1
310,1
311,1
312,0
313,0
314,1
315,0
316,0
317,0
318,0
319,1
320,0
321,0
322,0
323,1
324,1
325,0
326,1
327,1
328,0
329,0
330,1
331,1
332,1
333,0
334,0
335,1
336,1
337,1
338,1
339,0
340,1
341,1
342,0
343,0
344,1
345,1
346,0
347,0
348,1
349,1
350,0
351,1
352,1
353,0
354,1
355,1
356,0
357,0
358,0
359,0
360,1
361,0
362,1
363,1
364,0
365,1
366,1
367,1
368,1
369,0
370,0
371,1
372,1
373,1
374,1
375,1
376,1
377,1
378,0
379,1
380,0
381,1
382,0
383,1
384,0
385,1
386,1
387,1
388,0
389,0
390,1
391,0
392,0
393,0
394,0
395,0
396,0
397,1
398,0
399,1
400,1
401,0
402,0
403,0
404,0
405,0
406,1
407,1
408,1
409,1
410,1
411,0
412,0
413,1
414,0
415,0
416,0
417,0
418,0
419,0
420,1
421,1
422,0
423,0
424,0
425,0
426,1
427,0
428,0
429,0
430,1
431,0
432,0
433,0
434,0
435,1
436,1
437,1
438,0
439,1
440,0
441,0
442,1
443,1
444,0
445,1
446,0
447,0
448,0
449,1
450,0
451,1
452,0
453,0
454,1
455,1
456,0
457,1
458,0
459,0
460,0
461,0
462,1
463,1
464,0
465,0
466,1
467,1
468,1
469,1
470,0
471,0
472,1
473,0
474,0
475,1
476,0
477,1
478,0
479,0
480,1
481,1
482,1
483,1
484,1
485,1
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,1
495,0
496,1
497,0
498,1
499,0
500,1
501,0
502,0
503,1
504,1
505,1
506,0
507,0
508,1
509,0
510,1
511,0
512,1
513,0
514,1
515,0
516,1
517,0
518,1
519,0
520,0
521,0
522,0
523,0
524,0
525,1
526,1
527,0
528,1
529,0
530,1
531,1
532,0
533,1
534,1
535,0
536,1
537,0
538,1
539,1
540,1
541,1
542,0
543,1
544,1
545,0
546,1
547,0
548,0
549,0
550,0
551,1
552,1
553,0
554,0
555,0
556,0
557,1
558,1
559,1
560,0
561,1
562,1
563,1
564,0
565,1
566,0
567,0
568,1
569,0
570,1
571,1
572,1
573,1
574,0
575,0
576,1
577,0
578,0
579,0
580,0
581,1
582,0
583,1
584,1
585,1
586,1
587,0
588,0
589,0
590,0
591,0
592,0
593,1
594,1
595,0
596,0
597,1
598,0
599,0
600,1
601,1
602,1
603,0
604,0
605,1
606,0
607,1
608,1
609,0
610,0
611,1
612,1
613,0
614,0
615,0
616,1
617,0
618,0
619,1
620,1
621,0
622,1
623,0
624,0
625,0
626,1
627,1
628,1
629,1
630,0
631,0
632,0
633,1
634,1
635,1
636,1
637,0
638,1
639,0
640,0
641,0
642,0
643,1
644,0
645,1
646,0
647,1
648,1
649,0
650,1
651,0
652,0
653,1
654,0
655,0
656,0
657,0
658,1
659,0
660,0
661,1
662,0
663,1
664,0
665,0
666,0
667,0
668,1
669,0
670,1
671,0
672,1
673,0
674,0
675,1
676,0
677,0
678,0
679,0
680,1
681,0
682,1
683,0
684,0
685,0
686,0
687,1
688,0
689,1
690,1
691,0
692,0
693,1
694,0
695,1
696,1
697,0
698,0
699,0
700,0
701,0
702,1
703,0
704,1
705,0
706,1
707,1
708,0
709,1
710,1
711,1
712,1
713,0
714,0
715,1
716,0
717,1
718,1
719,1
720,0
721,0
722,1
723,0
724,0
725,1
726,0
727,1
728,0
729,0
730,0
731,0
732,1
733,0
734,0
735,1
736,1
737,1
738,0
739,1
740,1
741,0
742,1
743,1
744,0
745,0
746,1
747,0
748,1
749,1
750,1
751,0
752,0
753,1
754,1
755,1
756,1
757,1
758,1
759,1
760,0
761,1
762,1
763,0
764,0
765,1
766,1
767,0
768,1
769,1
770,1
771,1
772,1
773,0
774,0
775,1
776,1
777,1
778,1
779,1
780,1
781,1
782,0
783,1
784,1
785,0
786,0
787,1
788,1
789,1
790,1
791,0
792,1
793,0
794,1
795,0
796,1
797,1
798,0
799,0
800,1
801,0
802,0
803,0
804,1
805,0
806,0
807,1
808,0
809,1
810,1
811,1
812,0
813,1
814,1
815,1
816,0
817,0
818,1
819,1
820,0
821,0
822,1
823,0
824,0
825,1
826,1
827,0
828,0
829,1
830,0
831,0
832,1
833,0
834,1
835,0
836,0
837,1
838,1
839,1
840,0
841,1
842,0
843,0
844,1
845,1
846,0
847,1
848,1
849,0
850,1
851,1
852,0
853,1
854,1
855,1
856,0
857,1
858,1
859,1
860,0
861,0
862,1
863,1
864,1
865,0
866,1
867,0
868,1
869,1
870,0
871,0
872,0
873,1
874,0
875,0
876,1
877,0
878,0
879,0
880,0
881,1
882,0
883,1
884,1
885,1
886,1
887,0
888,0
889,0
890,1
891,1
892,1
893,1
894,0
895,0
896,1
897,0
898,1
899,0
900,1
901,1
902,0
903,0
904,0
905,1
906,0
907,1
908,0
909,1
910,0
911,1
912,1
913,1
914,1
915,0
916,0
917,1
918,1
919,0
920,0
921,0
922,1
923,1
924,1
925,0
926,1
927,1
928,0
929,0
930,0
931,1
932,1
933,0
934,0
935,1
936,1
937,1
938,1
939,0
940,1
941,1
942,1
943,0
944,1
945,0
946,0
947,1
948,0
949,1
950,0
951,0
952,1
953,0
954,0
955,1
956,0
957,1
958,0
959,1
960,0
961,1
962,0
963,1
964,0
965,1
966,0
967,0
968,0
969,1
970,0
971,1
972,1
973,1
974,0
975,1
976,0
977,0
978,0
979,1
980,0
981,0
982,0
983,0
984,0
985,0
986,1
987,1
988,1
989,0
990,0
991,0
992,1
993,0
994,0
995,1
996,0
997,0
998,1
999,0
1000,1
1001,0
1002,0
1003,0
1004,1
1005,1
1006,0
1007,1
1008,0
1009,0
1010,0
1011,0
1012,0
1013,0
1014,0
1015,1
1016,0
1017,1
1018,1
1019,1
1020,0
1021,1
1022,1
1023,0
1024,1
1025,0
1026,0
1027,0
1028,0
1029,0
1030,1
1031,0
1032,0
1033,0
1034,1
1035,1
1036,1
1037,1
1038,1
1039,0
1040,0
1041,1
1042,0
1043,0
1044,1
1045,0
1046,1
1047,0
1048,1
1049,0
1050,1
1051,1
1052,1
1053,0
1054,1
1055,0
1056,0
1057,1
1058,1
1059,1
1060,1
1061,0
1062,1
1063,0
1064,1
1065,1
1066,1
1067,0
1068,1
1069,1
1070,0
1071,1
1072,0
1073,0
1074,1
1075,1
1076,1
1077,1
1078,0
1079,0
1080,0
1081,0
1082,1
1083,0
1084,1
1085,0
1086,0
1087,0
1088,1
1089,0
1090,1
1091,1
1092,0
1093,1
1094,0
1095,1
1096,0
1097,0
1098,1
1099,0
1100,1
1101,1
1102,0
1103,1
1104,0
1105,0
1106,0
1107,1
1108,1
1109,0
1110,0
1111,1
1112,1
1113,1
1114,1
1115,1
1116,0
1117,1
1118,1
1119,0
1120,1
1121,1
1122,1
1123,0
1124,0
1125,0
1126,1
1127,0
1128,1
1129,0
1130,0
1131,0
1132,0
1133,0
1134,0
1135,0
1136,1
1137,1
1138,1
1139,0
1140,0
1141,0
1142,1
1143,1
1144,1
1145,1
1146,0
1147,1
1148,0
1149,1
1150,0
1151,0
1152,0
1153,1
1154,0
1155,1
1156,0
1157,0
1158,1
1159,1
1160,1
1161,0
1162,0
1163,0
1164,0
1165,1
1166,0
1167,1
1168,0
1169,0
1170,1
1171,0
1172,0
1173,0
1174,1
1175,0
1176,1
1177,0
1178,1
1179,1
1180,0
1181,0
1182,0
1183,1
1184,0
1185,1
1186,0
1187,0
1188,1
1189,1
1190,1
1191,0
1192,0
1193,0
1194,1
1195,0
1196,0
1197,0
1198,1
1199,1
1200,0
1201,1
1202,1
1203,1
1204,1
1205,1
1206,1
1207,0
1208,0
1209,1
1210,1
1211,1
1212,0
1213,1
1214,1
1215,0
1216,1
1217,1
1218,0
1219,1
1220,1
1221,0
1222,0
1223,0
1224,1
1225,1
1226,0
1227,0
1228,1
1229,1
